mcc,mnc,lac,cell_id,psc,asu,dbm,ta,lat,lon,accuracy,speed,bearing,altitude,measured_at,net_type,neighboring,device
,4162,5,504,,,,,42.66205261,-73.77325470,8.58,0,0,45.89,"2019-07-12T16:21:22.160Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46797361,176,25,-115,,42.66205261,-73.77325470,8.58,0,0,45.89,"2019-07-12T16:21:22.160Z",LTE,false,"samsung SM-G965U"
,4162,5,436,,,,,42.66199648,-73.77327867,10.72,0,0,50.87,"2019-07-12T16:23:59.423Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46797361,176,23,-117,,42.66199648,-73.77327867,10.72,0,0,50.87,"2019-07-12T16:23:59.423Z",LTE,false,"samsung SM-G965U"
,4162,5,504,,,,,42.66198984,-73.77327907,6.43,0,0,43.37,"2019-07-12T16:24:09.443Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46797361,176,20,-120,,42.66198984,-73.77327907,6.43,0,0,43.37,"2019-07-12T16:24:09.443Z",LTE,false,"samsung SM-G965U"
,4162,5,504,,,,,42.66198916,-73.77328068,7.5,0,0,51.31,"2019-07-12T16:25:33.110Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46160641,51,43,-97,,42.66198916,-73.77328068,7.5,0,0,51.31,"2019-07-12T16:25:33.110Z",LTE,false,"samsung SM-G965U"
,4162,5,504,,,,,42.66198673,-73.77328250,5.36,0,0,41.75,"2019-07-12T16:26:53.079Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46797361,176,25,-115,,42.66198673,-73.77328250,5.36,0,0,41.75,"2019-07-12T16:26:53.079Z",LTE,false,"samsung SM-G965U"
,4162,5,436,,,,,42.66199276,-73.77331766,8.58,0,0,53.99,"2019-07-12T16:33:06.557Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46797361,176,22,-118,,42.66199276,-73.77331766,8.58,0,0,53.99,"2019-07-12T16:33:06.557Z",LTE,false,"samsung SM-G965U"
,4162,5,504,,,,,42.66199276,-73.77331766,8.58,0,0,53.99,"2019-07-12T16:33:16.563Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46797361,176,24,-116,,42.66199276,-73.77331766,8.58,0,0,53.99,"2019-07-12T16:33:16.563Z",LTE,false,"samsung SM-G965U"
,4162,5,504,,,,,42.66200246,-73.77262554,20.37,0,0,87.18,"2019-07-12T16:55:05.148Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46797361,176,36,-104,,42.66200246,-73.77262554,20.37,0,0,87.18,"2019-07-12T16:55:05.148Z",LTE,false,"samsung SM-G965U"
,4162,5,504,,,,,42.66198609,-73.77323968,6.43,0,0,52.42,"2019-07-12T16:55:22.140Z",CDMA,false,"samsung SM-G965U"
,4162,5,504,,,,,42.66199980,-73.77326338,8.58,0,0,42.76,"2019-07-12T16:55:42.477Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46797361,176,32,-108,,42.66199980,-73.77326338,8.58,0,0,42.76,"2019-07-12T16:55:42.477Z",LTE,false,"samsung SM-G965U"
,4162,5,504,,,,,42.66199980,-73.77326338,8.58,0,0,42.76,"2019-07-12T17:03:03.192Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46797369,176,24,-116,,42.66199980,-73.77326338,8.58,0,0,42.76,"2019-07-12T17:03:03.192Z",LTE,false,"samsung SM-G965U"
,4162,5,504,,,,,42.66202147,-73.77328474,5.36,0,0,58.44,"2019-07-12T17:06:50.993Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46160665,51,46,-94,,42.66202147,-73.77328474,5.36,0,0,58.44,"2019-07-12T17:06:50.993Z",LTE,false,"samsung SM-G965U"
,4162,5,504,,,,,42.66203375,-73.77329224,19.3,0,0,57.96,"2019-07-12T17:07:41.028Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46797361,176,28,-112,,42.66203375,-73.77329224,19.3,0,0,57.96,"2019-07-12T17:07:41.028Z",LTE,false,"samsung SM-G965U"
,4162,5,504,,,,,42.66203463,-73.77330357,18.22,0,0,47.64,"2019-07-12T17:10:38.198Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46786609,42,22,-118,,42.66203463,-73.77330357,18.22,0,0,47.64,"2019-07-12T17:10:38.198Z",LTE,false,"samsung SM-G965U"
,4162,5,504,,,,,42.66202633,-73.77329387,7.5,0,0,52.31,"2019-07-12T17:10:58.185Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46797361,176,34,-106,,42.66202633,-73.77329387,7.5,0,0,52.31,"2019-07-12T17:10:58.185Z",LTE,false,"samsung SM-G965U"
,4162,5,504,,,,,42.66199065,-73.77327329,21.44,0,0,40.32,"2019-07-12T17:22:30.861Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46160665,51,58,-82,,42.66199065,-73.77327329,21.44,0,0,40.32,"2019-07-12T17:22:30.861Z",LTE,false,"samsung SM-G965U"
,4162,5,504,,,,,42.66198597,-73.77331587,8.58,0,0,41.25,"2019-07-12T17:22:40.868Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46797361,176,35,-105,,42.66198597,-73.77331587,8.58,0,0,41.25,"2019-07-12T17:22:40.868Z",LTE,false,"samsung SM-G965U"
,4162,5,436,,,,,42.66197078,-73.77335753,7.5,0,0,40.08,"2019-07-12T17:30:44.954Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46797361,176,25,-115,,42.66197078,-73.77335753,7.5,0,0,40.08,"2019-07-12T17:30:44.954Z",LTE,false,"samsung SM-G965U"
,4162,5,504,,,,,42.66197871,-73.77332022,6.43,0,0,43.3,"2019-07-12T17:31:04.975Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46797361,176,31,-109,,42.66197871,-73.77332022,6.43,0,0,43.3,"2019-07-12T17:31:04.975Z",LTE,false,"samsung SM-G965U"
,4162,5,504,,,,,42.66197495,-73.77332232,6.43,0,0,44.9,"2019-07-12T17:32:34.349Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46160665,51,55,-85,,42.66197495,-73.77332232,6.43,0,0,44.9,"2019-07-12T17:32:34.349Z",LTE,false,"samsung SM-G965U"
,4162,5,504,,,,,42.66197495,-73.77332232,6.43,0,0,44.9,"2019-07-12T17:32:44.374Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46160641,51,46,-94,,42.66197495,-73.77332232,6.43,0,0,44.9,"2019-07-12T17:32:44.374Z",LTE,false,"samsung SM-G965U"
,4162,5,504,,,,,42.66197093,-73.77332396,9.65,0,0,43.11,"2019-07-12T17:33:14.373Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46786609,42,34,-106,,42.66197093,-73.77332396,9.65,0,0,43.11,"2019-07-12T17:33:14.373Z",LTE,false,"samsung SM-G965U"
,4162,5,504,,,,,42.66197292,-73.77331433,8.58,0,0,46.02,"2019-07-12T17:34:04.360Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46797361,176,22,-118,,42.66197292,-73.77331433,8.58,0,0,46.02,"2019-07-12T17:34:04.360Z",LTE,false,"samsung SM-G965U"
,4162,5,504,,,,,42.66199457,-73.77329999,4.29,0,0,40.83,"2019-07-12T17:59:17.946Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46797369,176,33,-107,,42.66199457,-73.77329999,4.29,0,0,40.83,"2019-07-12T17:59:17.946Z",LTE,false,"samsung SM-G965U"
,4162,5,504,,,,,42.66203552,-73.77333475,4.29,0.49,39.2,39.75,"2019-07-12T18:06:44.750Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46160665,51,55,-85,,42.66203552,-73.77333475,4.29,0.49,39.2,39.75,"2019-07-12T18:06:44.750Z",LTE,false,"samsung SM-G965U"
,4162,5,504,,,,,42.66200668,-73.77331186,8.58,0,0,34.9,"2019-07-12T18:06:54.751Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46160641,51,46,-94,,42.66200668,-73.77331186,8.58,0,0,34.9,"2019-07-12T18:06:54.751Z",LTE,false,"samsung SM-G965U"
,4162,5,504,,,,,42.66197406,-73.77339245,7.5,0,0,37.73,"2019-07-12T18:07:04.758Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46797369,176,25,-115,,42.66197406,-73.77339245,7.5,0,0,37.73,"2019-07-12T18:07:04.758Z",LTE,false,"samsung SM-G965U"
,4162,5,504,,,,,42.66140050,-73.77382116,9.65,1.62,216.9,37.45,"2019-07-12T18:23:02.124Z",CDMA,false,"samsung SM-G965U"
,4162,5,504,,,,,42.66100412,-73.77411816,6.43,1.07,198,44.55,"2019-07-12T18:23:52.115Z",CDMA,false,"samsung SM-G965U"
,4162,5,504,,,,,42.66087976,-73.77406859,10.72,0,0,40.33,"2019-07-12T18:24:04.830Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46160641,51,70,-70,,42.66087976,-73.77406859,10.72,0,0,40.33,"2019-07-12T18:24:04.830Z",LTE,false,"samsung SM-G965U"
,4162,5,504,,,,,42.66086315,-73.77406114,12.86,0,0,47.4,"2019-07-12T18:24:14.515Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46797361,176,62,-78,24,42.66086315,-73.77406114,12.86,0,0,47.4,"2019-07-12T18:24:14.515Z",LTE,false,"samsung SM-G965U"
,4162,5,504,,,,,42.66086236,-73.77402882,10.72,0,0,39.33,"2019-07-12T18:25:44.523Z",CDMA,false,"samsung SM-G965U"
310,120,5633,47491650,112,34,-106,,42.66086236,-73.77402882,10.72,0,0,39.33,"2019-07-12T18:25:44.523Z",LTE,false,"samsung SM-G965U"
,4162,5,504,,,,,42.66085144,-73.77403093,4.29,0,0,37.94,"2019-07-12T18:26:54.553Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46797361,176,60,-80,,42.66085144,-73.77403093,4.29,0,0,37.94,"2019-07-12T18:26:54.553Z",LTE,false,"samsung SM-G965U"
,4162,5,504,,,,,42.66086411,-73.77404341,7.5,0,0,40.13,"2019-07-12T18:28:24.534Z",CDMA,false,"samsung SM-G965U"
310,120,5633,47491650,112,25,-115,,42.66086411,-73.77404341,7.5,0,0,40.13,"2019-07-12T18:28:24.534Z",LTE,false,"samsung SM-G965U"
,4162,5,504,,,,,42.66087808,-73.77403186,9.65,0,0,39.05,"2019-07-12T18:30:32.170Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46797369,176,60,-80,24,42.66087808,-73.77403186,9.65,0,0,39.05,"2019-07-12T18:30:32.170Z",LTE,false,"samsung SM-G965U"
,4162,5,504,,,,,42.66087585,-73.77404197,3.22,0,0,35.33,"2019-07-12T18:34:02.181Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46797361,176,63,-77,24,42.66087585,-73.77404197,3.22,0,0,35.33,"2019-07-12T18:34:02.181Z",LTE,false,"samsung SM-G965U"
,4162,5,504,,,,,42.66087512,-73.77404196,11.79,0,0,34.43,"2019-07-12T18:34:52.183Z",CDMA,false,"samsung SM-G965U"
310,120,5633,47491650,112,32,-108,29,42.66087512,-73.77404196,11.79,0,0,34.43,"2019-07-12T18:34:52.183Z",LTE,false,"samsung SM-G965U"
,4162,5,504,,,,,42.66087512,-73.77404196,11.79,0,0,34.43,"2019-07-12T18:35:04.451Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46797361,176,62,-78,,42.66087512,-73.77404196,11.79,0,0,34.43,"2019-07-12T18:35:04.451Z",LTE,false,"samsung SM-G965U"
,4162,5,436,,,,,42.66085940,-73.77402892,4.29,0,0,8.01,"2019-07-12T18:40:14.854Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46786609,42,36,-104,24,42.66085940,-73.77402892,4.29,0,0,8.01,"2019-07-12T18:40:14.854Z",LTE,false,"samsung SM-G965U"
,4162,5,436,,,,,42.66085940,-73.77402892,4.29,0,0,8.01,"2019-07-12T18:40:56.276Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46787123,380,46,-94,,42.66085940,-73.77402892,4.29,0,0,8.01,"2019-07-12T18:40:56.276Z",LTE,false,"samsung SM-G965U"
,4162,5,436,,,,,42.66487135,-73.78660144,7.5,13.02,292.7,51.08,"2019-07-12T18:41:12.099Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46787123,380,46,-94,,42.66487135,-73.78660144,7.5,13.02,292.7,51.08,"2019-07-12T18:41:12.099Z",LTE,false,"samsung SM-G965U"
,4162,5,436,,,,,42.66508844,-73.78726775,8.58,11.59,293.7,50.03,"2019-07-12T18:41:17.133Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46787123,380,46,-94,,42.66508844,-73.78726775,8.58,11.59,293.7,50.03,"2019-07-12T18:41:17.133Z",LTE,false,"samsung SM-G965U"
,4162,5,948,,,,,42.66508844,-73.78726775,8.58,11.59,293.7,50.03,"2019-07-12T18:41:17.358Z",CDMA,false,"samsung SM-G965U"
310,120,5633,47491650,112,30,-110,30,42.66508844,-73.78726775,8.58,11.59,293.7,50.03,"2019-07-12T18:41:17.358Z",LTE,false,"samsung SM-G965U"
,4162,5,948,,,,,42.66532273,-73.78808021,7.5,11.71,295.5,38.15,"2019-07-12T18:41:23.103Z",CDMA,false,"samsung SM-G965U"
310,120,5633,47491650,112,30,-110,30,42.66532273,-73.78808021,7.5,11.71,295.5,38.15,"2019-07-12T18:41:23.103Z",LTE,false,"samsung SM-G965U"
,4162,5,948,,,,,42.66557923,-73.78880479,5.36,11.92,293.2,36.36,"2019-07-12T18:41:28.099Z",CDMA,false,"samsung SM-G965U"
310,120,5633,47491650,112,21,-119,31,42.66557923,-73.78880479,5.36,11.92,293.2,36.36,"2019-07-12T18:41:28.099Z",LTE,false,"samsung SM-G965U"
,4162,5,948,,,,,42.66587072,-73.78952179,5.36,9.98,298.1,36.44,"2019-07-12T18:41:34.134Z",CDMA,false,"samsung SM-G965U"
310,120,5633,47491650,112,21,-119,31,42.66587072,-73.78952179,5.36,9.98,298.1,36.44,"2019-07-12T18:41:34.134Z",LTE,false,"samsung SM-G965U"
,4162,5,439,,,,,42.66586753,-73.78971338,4.29,8.65,297,34.1,"2019-07-12T18:41:37.376Z",CDMA,false,"samsung SM-G965U"
310,120,5633,47491650,112,20,-120,31,42.66586753,-73.78971338,4.29,8.65,297,34.1,"2019-07-12T18:41:37.376Z",LTE,false,"samsung SM-G965U"
,4162,5,439,,,,,42.66602638,-73.78985217,8.58,0.18,298.4,33.46,"2019-07-12T18:41:47.365Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46167809,33,31,-109,9,42.66602638,-73.78985217,8.58,0.18,298.4,33.46,"2019-07-12T18:41:47.365Z",LTE,false,"samsung SM-G965U"
,4162,5,439,,,,,42.66601350,-73.78984877,7.5,0,0,30.21,"2019-07-12T18:42:44.717Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46791993,6,24,-116,33,42.66601350,-73.78984877,7.5,0,0,30.21,"2019-07-12T18:42:44.717Z",LTE,false,"samsung SM-G965U"
,4162,5,439,,,,,42.66601350,-73.78984877,7.5,0,0,30.21,"2019-07-12T18:42:54.739Z",CDMA,false,"samsung SM-G965U"
310,120,5633,47491642,112,25,-115,32,42.66601350,-73.78984877,7.5,0,0,30.21,"2019-07-12T18:42:54.739Z",LTE,false,"samsung SM-G965U"
,4162,5,439,,,,,42.66601350,-73.78984877,7.5,0,0,30.21,"2019-07-12T18:43:04.731Z",CDMA,false,"samsung SM-G965U"
310,120,5633,47491634,112,23,-117,31,42.66601350,-73.78984877,7.5,0,0,30.21,"2019-07-12T18:43:04.731Z",LTE,false,"samsung SM-G965U"
,4162,5,439,,,,,42.66597428,-73.78984898,11.79,0,0,30.45,"2019-07-12T18:43:14.723Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46167809,33,29,-111,10,42.66597428,-73.78984898,11.79,0,0,30.45,"2019-07-12T18:43:14.723Z",LTE,false,"samsung SM-G965U"
,4162,5,439,,,,,42.66597428,-73.78984898,11.79,0,0,30.45,"2019-07-12T18:44:13.104Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46167833,33,37,-103,10,42.66597428,-73.78984898,11.79,0,0,30.45,"2019-07-12T18:44:13.104Z",LTE,false,"samsung SM-G965U"
,4162,5,439,,,,,42.66729016,-73.79401567,8.58,9.81,290.7,38.28,"2019-07-12T18:44:18.121Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46167833,33,37,-103,10,42.66729016,-73.79401567,8.58,9.81,290.7,38.28,"2019-07-12T18:44:18.121Z",LTE,false,"samsung SM-G965U"
,4162,5,4621,,,,,42.66735139,-73.79422523,9.65,9.27,289.4,34.57,"2019-07-12T18:44:23.095Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46167833,33,38,-102,10,42.66735139,-73.79422523,9.65,9.27,289.4,34.57,"2019-07-12T18:44:23.095Z",LTE,false,"samsung SM-G965U"
,4162,5,4621,,,,,42.66756718,-73.79490799,9.65,1.81,288.2,38.77,"2019-07-12T18:44:30.124Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46167833,33,38,-102,10,42.66756718,-73.79490799,9.65,1.81,288.2,38.77,"2019-07-12T18:44:30.124Z",LTE,false,"samsung SM-G965U"
,4162,5,439,,,,,42.66756718,-73.79490799,9.65,1.81,288.2,38.77,"2019-07-12T18:44:33.082Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46167833,33,39,-101,9,42.66756718,-73.79490799,9.65,1.81,288.2,38.77,"2019-07-12T18:44:33.082Z",LTE,false,"samsung SM-G965U"
,4162,5,4621,,,,,42.66755998,-73.79496486,7.5,0,0,40.57,"2019-07-12T18:44:43.088Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46167825,33,35,-105,9,42.66755998,-73.79496486,7.5,0,0,40.57,"2019-07-12T18:44:43.088Z",LTE,false,"samsung SM-G965U"
,4162,5,439,,,,,42.66755998,-73.79496486,7.5,0,0,40.57,"2019-07-12T18:44:53.105Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46167825,33,35,-105,9,42.66755998,-73.79496486,7.5,0,0,40.57,"2019-07-12T18:44:53.105Z",LTE,false,"samsung SM-G965U"
,4162,5,439,,,,,42.66859540,-73.79842368,7.5,1.08,356,47.18,"2019-07-12T18:45:28.425Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46167825,33,24,-116,9,42.66859540,-73.79842368,7.5,1.08,356,47.18,"2019-07-12T18:45:28.425Z",LTE,false,"samsung SM-G965U"
,4162,5,573,,,,,42.66859540,-73.79842368,7.5,1.08,356,47.18,"2019-07-12T18:45:31.593Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46167833,33,33,-107,,42.66859540,-73.79842368,7.5,1.08,356,47.18,"2019-07-12T18:45:31.593Z",LTE,false,"samsung SM-G965U"
,4162,5,4621,,,,,42.66868853,-73.79838746,8.58,0,0,37.41,"2019-07-12T18:45:41.574Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46167833,33,33,-107,10,42.66868853,-73.79838746,8.58,0,0,37.41,"2019-07-12T18:45:41.574Z",LTE,false,"samsung SM-G965U"
,4162,5,439,,,,,42.66868853,-73.79838746,8.58,0,0,37.41,"2019-07-12T18:45:51.582Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46167833,33,33,-107,10,42.66868853,-73.79838746,8.58,0,0,37.41,"2019-07-12T18:45:51.582Z",LTE,false,"samsung SM-G965U"
,4162,5,439,,,,,42.66959648,-73.80148948,5.36,15.07,294.5,48.6,"2019-07-12T18:46:11.110Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46167833,33,34,-106,10,42.66959648,-73.80148948,5.36,15.07,294.5,48.6,"2019-07-12T18:46:11.110Z",LTE,false,"samsung SM-G965U"
,4162,5,439,,,,,42.67000493,-73.80256053,4.29,15.33,294.5,48.82,"2019-07-12T18:46:17.103Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46167833,33,39,-101,10,42.67000493,-73.80256053,4.29,15.33,294.5,48.82,"2019-07-12T18:46:17.103Z",LTE,false,"samsung SM-G965U"
,4162,5,439,,,,,42.67039514,-73.80371499,4.29,14.59,296.2,45.5,"2019-07-12T18:46:24.103Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46167833,33,35,-105,11,42.67039514,-73.80371499,4.29,14.59,296.2,45.5,"2019-07-12T18:46:24.103Z",LTE,false,"samsung SM-G965U"
310,120,5633,46163225,27,37,-103,12,42.67039514,-73.80371499,4.29,14.59,296.2,45.5,"2019-07-12T18:46:31.592Z",LTE,false,"samsung SM-G965U"
,4162,5,316,,,,,42.67039514,-73.80371499,4.29,14.59,296.2,45.5,"2019-07-12T18:46:41.610Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46163225,27,36,-104,11,42.67039514,-73.80371499,4.29,14.59,296.2,45.5,"2019-07-12T18:46:41.610Z",LTE,false,"samsung SM-G965U"
,4162,5,316,,,,,42.67039514,-73.80371499,4.29,14.59,296.2,45.5,"2019-07-12T18:46:51.617Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46159899,374,39,-101,6,42.67039514,-73.80371499,4.29,14.59,296.2,45.5,"2019-07-12T18:46:51.617Z",LTE,false,"samsung SM-G965U"
,4162,5,4365,,,,,42.67039514,-73.80371499,4.29,14.59,296.2,45.5,"2019-07-12T18:47:01.613Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46159889,36,51,-89,5,42.67039514,-73.80371499,4.29,14.59,296.2,45.5,"2019-07-12T18:47:01.613Z",LTE,false,"samsung SM-G965U"
,4162,5,4365,,,,,42.67039514,-73.80371499,4.29,14.59,296.2,45.5,"2019-07-12T18:47:37.320Z",CDMA,false,"samsung SM-G965U"
310,120,5633,47491123,362,32,-108,26,42.67039514,-73.80371499,4.29,14.59,296.2,45.5,"2019-07-12T18:47:37.320Z",LTE,false,"samsung SM-G965U"
,4162,5,4365,,,,,42.67281920,-73.81134344,5.36,13.95,294.7,27.38,"2019-07-12T18:47:46.114Z",CDMA,false,"samsung SM-G965U"
310,120,5633,47491123,362,32,-108,26,42.67281920,-73.81134344,5.36,13.95,294.7,27.38,"2019-07-12T18:47:46.114Z",LTE,false,"samsung SM-G965U"
,4162,5,4365,,,,,42.67309193,-73.81221229,7.5,11.13,300.4,43.08,"2019-07-12T18:47:52.112Z",CDMA,false,"samsung SM-G965U"
310,120,5633,47491123,362,25,-115,27,42.67309193,-73.81221229,7.5,11.13,300.4,43.08,"2019-07-12T18:47:52.112Z",LTE,false,"samsung SM-G965U"
,4162,5,571,,,,,42.67318161,-73.81252462,7.5,0,0,47.26,"2019-07-12T18:49:50.025Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46165761,21,38,-102,,42.67318161,-73.81252462,7.5,0,0,47.26,"2019-07-12T18:49:50.025Z",LTE,false,"samsung SM-G965U"
,4162,5,4377,,,,,42.67318161,-73.81252462,7.5,0,0,47.26,"2019-07-12T18:50:00.048Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46165761,21,37,-103,,42.67318161,-73.81252462,7.5,0,0,47.26,"2019-07-12T18:50:00.048Z",LTE,false,"samsung SM-G965U"
,4162,5,4377,,,,,42.67567766,-73.82052733,5.36,10.21,290.9,27.2,"2019-07-12T18:50:13.127Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46165761,21,37,-103,,42.67567766,-73.82052733,5.36,10.21,290.9,27.2,"2019-07-12T18:50:13.127Z",LTE,false,"samsung SM-G965U"
,4162,5,4377,,,,,42.67567766,-73.82052733,5.36,10.21,290.9,27.2,"2019-07-12T18:50:13.129Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46165761,21,47,-93,4,42.67567766,-73.82052733,5.36,10.21,290.9,27.2,"2019-07-12T18:50:13.129Z",LTE,false,"samsung SM-G965U"
,4162,5,4377,,,,,42.67580819,-73.82077559,5.36,13.68,307.6,28.19,"2019-07-12T18:51:45.410Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46165785,21,32,-108,3,42.67580819,-73.82077559,5.36,13.68,307.6,28.19,"2019-07-12T18:51:45.410Z",LTE,false,"samsung SM-G965U"
,4162,5,4377,,,,,42.67580819,-73.82077559,5.36,13.68,307.6,28.19,"2019-07-12T18:52:27.221Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46165777,21,34,-106,3,42.67580819,-73.82077559,5.36,13.68,307.6,28.19,"2019-07-12T18:52:27.221Z",LTE,false,"samsung SM-G965U"
,4162,5,571,,,,,42.67580819,-73.82077559,5.36,13.68,307.6,28.19,"2019-07-12T18:52:37.224Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46165777,21,36,-104,,42.67580819,-73.82077559,5.36,13.68,307.6,28.19,"2019-07-12T18:52:37.224Z",LTE,false,"samsung SM-G965U"
,4162,5,571,,,,,42.67580819,-73.82077559,5.36,13.68,307.6,28.19,"2019-07-12T18:53:00.914Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46162962,100,29,-111,,42.67580819,-73.82077559,5.36,13.68,307.6,28.19,"2019-07-12T18:53:00.914Z",LTE,false,"samsung SM-G965U"
,4162,5,571,,,,,42.67580819,-73.82077559,5.36,13.68,307.6,28.19,"2019-07-12T18:53:10.926Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46162946,100,24,-116,5,42.67580819,-73.82077559,5.36,13.68,307.6,28.19,"2019-07-12T18:53:10.926Z",LTE,false,"samsung SM-G965U"
,4162,5,316,,,,,42.67580819,-73.82077559,5.36,13.68,307.6,28.19,"2019-07-12T18:55:16.490Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46165785,21,37,-103,,42.67580819,-73.82077559,5.36,13.68,307.6,28.19,"2019-07-12T18:55:16.490Z",LTE,false,"samsung SM-G965U"
,4162,5,571,,,,,42.67580819,-73.82077559,5.36,13.68,307.6,28.19,"2019-07-12T19:15:59.555Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46163217,27,31,-109,,42.67580819,-73.82077559,5.36,13.68,307.6,28.19,"2019-07-12T19:15:59.555Z",LTE,false,"samsung SM-G965U"
,4162,5,571,,,,,42.67580819,-73.82077559,5.36,13.68,307.6,28.19,"2019-07-12T19:23:55.429Z",CDMA,false,"samsung SM-G965U"
310,120,5633,47494465,402,21,-119,,42.67580819,-73.82077559,5.36,13.68,307.6,28.19,"2019-07-12T19:23:55.429Z",LTE,false,"samsung SM-G965U"
,4162,5,316,,,,,42.67580819,-73.82077559,5.36,13.68,307.6,28.19,"2019-07-12T19:25:42.803Z",CDMA,false,"samsung SM-G965U"
310,120,5633,47494449,402,20,-120,,42.67580819,-73.82077559,5.36,13.68,307.6,28.19,"2019-07-12T19:25:42.803Z",LTE,false,"samsung SM-G965U"
,4162,5,4377,,,,,42.67580819,-73.82077559,5.36,13.68,307.6,28.19,"2019-07-12T19:49:01.198Z",CDMA,false,"samsung SM-G965U"
310,120,5633,47497009,21,33,-107,,42.67580819,-73.82077559,5.36,13.68,307.6,28.19,"2019-07-12T19:49:01.198Z",LTE,false,"samsung SM-G965U"
,4162,5,4377,,,,,42.67615940,-73.82117017,28.94,0,0,40.78,"2019-07-12T19:49:16.124Z",CDMA,false,"samsung SM-G965U"
310,120,5633,47497009,21,28,-112,,42.67615940,-73.82117017,28.94,0,0,40.78,"2019-07-12T19:49:16.124Z",LTE,false,"samsung SM-G965U"
,4162,5,4377,,,,,42.67644937,-73.82160028,37.52,0,0,48.03,"2019-07-12T19:49:42.115Z",CDMA,false,"samsung SM-G965U"
310,120,5633,47497009,21,29,-111,,42.67644937,-73.82160028,37.52,0,0,48.03,"2019-07-12T19:49:42.115Z",LTE,false,"samsung SM-G965U"
,4162,5,4377,,,,,42.67642181,-73.82146023,18.22,0,0,45.07,"2019-07-12T19:50:10.123Z",CDMA,false,"samsung SM-G965U"
310,120,5633,47494449,402,26,-114,,42.67642181,-73.82146023,18.22,0,0,45.07,"2019-07-12T19:50:10.123Z",LTE,false,"samsung SM-G965U"
